Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,45.770000,46.709999,44.720001,46.599998,46.396126,59800
2023-01-08,46.590000,48.220001,46.000000,47.970001,47.760132,65300
2023-01-15,47.889999,48.480000,46.200001,47.320000,47.112976,50600
2023-01-22,47.630001,48.419998,45.889999,47.320000,47.112976,67900
2023-01-29,47.209999,50.529999,47.209999,50.020000,49.801163,111500
2023-02-05,49.240002,50.000000,47.639999,47.840000,47.630699,87800
2023-02-12,48.000000,48.610001,47.240002,48.209999,47.999081,415000
2023-02-19,48.209999,48.209999,46.330002,47.020000,47.020000,117100
2023-02-26,47.070000,47.410000,44.259998,45.959999,45.959999,290900
2023-03-05,45.830002,46.410000,40.250000,40.959999,40.959999,236300
2023-03-12,40.220001,42.270000,37.610001,39.869999,39.869999,464100
2023-03-19,40.189999,41.500000,37.340000,38.820000,38.820000,394400
2023-03-24,37.529999,39.180000,37.340000,38.820000,38.820000,26642
