Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,2.910000,2.970000,2.890000,2.960000,2.960000,789937702
2023-01-16,2.970000,3.000000,2.930000,2.990000,2.990000,855410421
2023-01-23,3.000000,3.060000,3.000000,3.060000,3.060000,406176874
2023-01-30,3.060000,3.060000,2.950000,2.980000,2.980000,1158493786
2023-02-06,2.970000,2.990000,2.930000,2.950000,2.950000,799085164
2023-02-13,2.950000,2.960000,2.910000,2.930000,2.930000,768738000
2023-02-20,2.930000,2.960000,2.910000,2.910000,2.910000,597238753
2023-02-27,2.910000,2.990000,2.880000,2.990000,2.990000,962013304
2023-03-06,2.970000,3.070000,2.910000,2.920000,2.920000,1288461724
2023-03-13,2.910000,3.040000,2.900000,3.010000,3.010000,1676625029
2023-03-20,3.010000,3.050000,2.970000,3.010000,3.010000,1186274387
2023-03-24,3.030000,3.040000,3.010000,3.010000,3.010000,185863751
