Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,33.230000,34.820000,33.209999,34.410000,34.188259,145465700
2023-01-08,34.750000,35.389999,33.090000,35.230000,35.002975,249596700
2023-01-15,34.689999,34.830002,32.889999,33.849998,33.631866,198687700
2023-01-22,33.810001,35.779999,33.750000,35.450001,35.221561,149260100
2023-01-29,35.209999,36.759998,35.000000,36.430000,36.195244,181850400
2023-02-05,36.250000,37.000000,35.029999,35.580002,35.350723,169752200
2023-02-12,35.480000,35.990002,34.740002,35.349998,35.122200,137533000
2023-02-19,34.910000,35.049999,33.840000,34.209999,33.989548,131153900
2023-02-26,34.450001,34.689999,33.000000,34.160000,33.939873,175745100
2023-03-05,34.240002,34.560001,28.920000,30.270000,30.270000,407200800
2023-03-12,28.920000,30.090000,27.620001,27.820000,27.820000,742492000
2023-03-19,28.240000,28.980000,26.320000,27.139999,27.139999,445430500
2023-03-24,26.600000,27.290001,26.320000,27.139999,27.139999,96332546
