Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,31.690001,34.340000,31.510000,34.310001,33.281147,11694600
2023-01-08,34.240002,36.200001,34.160000,36.150002,35.065971,10881200
2023-01-15,36.500000,36.849998,35.880001,36.840000,35.735279,9187000
2023-01-22,36.610001,37.500000,36.410000,37.150002,36.035984,9358000
2023-01-29,37.130001,37.320000,35.950001,35.990002,34.910770,11550500
2023-02-05,35.759998,37.720001,35.639999,36.849998,35.744980,10232100
2023-02-12,37.060001,37.400002,36.619999,37.340000,36.220287,7908400
2023-02-19,39.209999,39.630001,37.779999,38.020000,36.879894,11193600
2023-02-26,38.070000,38.590000,36.619999,37.240002,36.123287,11300900
2023-03-05,36.880001,37.669998,35.139999,35.310001,35.310001,14220700
2023-03-12,34.200001,35.389999,32.840000,33.080002,33.080002,28095400
2023-03-19,32.930000,34.950001,32.410000,33.080002,33.080002,17142200
2023-03-24,32.630001,33.080002,32.404999,33.080002,33.080002,3583913
