Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,11.710000,12.550000,11.600000,12.440000,12.440000,21614600
2023-01-08,12.530000,12.820000,12.380000,12.730000,12.730000,21746800
2023-01-15,12.960000,13.080000,12.650000,13.040000,13.040000,12697600
2023-01-22,12.960000,13.450000,12.880000,13.430000,13.430000,15097800
2023-01-29,13.380000,13.570000,12.380000,12.430000,12.430000,22901700
2023-02-05,12.230000,12.700000,12.030000,12.110000,12.110000,17461300
2023-02-12,12.190000,12.720000,12.150000,12.720000,12.720000,15520000
2023-02-19,12.330000,12.440000,11.890000,11.970000,11.970000,10579000
2023-02-26,12.280000,12.560000,12.080000,12.480000,12.480000,12817300
2023-03-05,12.470000,12.600000,11.050000,11.120000,11.120000,24739600
2023-03-12,10.650000,11.430000,9.710000,9.890000,9.890000,44107100
2023-03-19,9.820000,10.650000,8.850000,9.350000,9.350000,78084200
2023-03-24,9.120000,9.430000,8.850000,9.350000,9.350000,36731069
